premise	hypothesis	label
这盐是世界上最纯净的盐。	这盐是我所见过最纯净的盐。	entailment
这首歌是我所见过最新颖的歌。	这首歌是世界上最新颖的歌。	not_entailment
这首歌是世界上最新颖的歌。	这首歌是我所见过最新颖的歌。	entailment
这桶油是我所见过最纯净的油。	这桶油是世界上最纯净的油。	not_entailment
这桶油是世界上最纯净的油。	这桶油是我所见过最纯净的油。	entailment
这个背景是我所见过最特别的背景。	这个背景是世界上最特别的背景。	not_entailment
这个背景是世界上最特别的背景。	这个背景是我所见过最特别的背景。	entailment
这个反派是我所见过最弱小的反派。	这个反派是世界上最弱小的反派。	not_entailment
这个反派是世界上最弱小的反派。	这个反派是我所见过最弱小的反派。	entailment
这条路是我所见过最笔直的路。	这条路是世界上最笔直的路。	not_entailment
这条路是世界上最笔直的路。	这条路是我所见过最笔直的路。	entailment
这个方程是我所见过最简单的方程。	这个方程是世界上最简单的方程。	not_entailment
这个方程是世界上最简单的方程。	这个方程是我所见过最简单的方程。	entailment
这片土壤是我所见过最肥沃的土壤。	这片土壤是世界上最肥沃的土壤。	not_entailment
这片土壤是世界上最肥沃的土壤。	这片土壤是我所见过最肥沃的土壤。	entailment
这个参考书目是我所见过最冗长的参考书目。	这个参考书目是世界上最冗长的参考书目。	not_entailment
这个参考书目是世界上最冗长的参考书目。	这个参考书目是我所见过最冗长的参考书目。	entailment
这片天空是我所见过最清澈的天空。	这片天空是世界上最清澈的天空。	not_entailment
这片天空是世界上最清澈的天空。	这片天空是我所见过最清澈的天空。	entailment
这间别墅是我所见过最豪华的别墅。	这间别墅是世界上最豪华的别墅。	not_entailment
这间别墅是世界上最豪华的别墅。	这间别墅是我所见过最豪华的别墅。	entailment
这个声音是我所见过最温柔的声音。	这个声音是世界上最温柔的声音。	not_entailment
这个声音是世界上最温柔的声音。	这个声音是我所见过最温柔的声音。	entailment
这种塑料是我所见过最厚实的塑料。	这种塑料是世界上最厚实的塑料。	not_entailment
这种塑料是世界上最厚实的塑料。	这种塑料是我所见过最厚实的塑料。	entailment
这空气是我所见过最肮脏的空气。	这空气是世界上最肮脏的空气。	not_entailment
这空气是世界上最肮脏的空气。	这空气是我所见过最肮脏的空气。	entailment
这条领带是我所见过最精美的领带。	这条领带是世界上最精美的领带。	not_entailment
这条领带是世界上最精美的领带。	这条领带是我所见过最精美的领带。	entailment
这个海岸是我所见过最潮湿的海岸。	这个海岸是世界上最潮湿的海岸。	not_entailment
这个海岸是世界上最潮湿的海岸。	这个海岸是我所见过最潮湿的海岸。	entailment
这个头衔是我所见过最简短的头衔。	这个头衔是世界上最简短的头衔。	not_entailment
这个头衔是世界上最简短的头衔。	这个头衔是我所见过最简短的头衔。	entailment
这个角是我所见过最笔直的角。	这个角是世界上最笔直的角。	not_entailment
这个角是世界上最笔直的角。	这个角是我所见过最笔直的角。	entailment
这个谜题是我所见过最完整的谜题。	这个谜题是世界上最完整的谜题。	not_entailment
这个谜题是世界上最完整的谜题。	这个谜题是我所见过最完整的谜题。	entailment
这个女人是我所见过最高大的女人。	这个女人是世界上最高大的女人。	not_entailment
这个女人是世界上最高大的女人。	这个女人是我所见过最高大的女人。	entailment
这个问题是我所见过最困难的问题。	这个问题是世界上最困难的问题。	not_entailment
这个问题是世界上最困难的问题。	这个问题是我所见过最困难的问题。	entailment
这条路线是我所见过最崎岖的路线。	这条路线是世界上最崎岖的路线。	not_entailment
这条路线是世界上最崎岖的路线。	这条路线是我所见过最崎岖的路线。	entailment
这份工资是我所见过最丰厚的工资。	这份工资是世界上最丰厚的工资。	not_entailment
这份工资是世界上最丰厚的工资。	这份工资是我所见过最丰厚的工资。	entailment
这的照明是我所见过最糟糕的照明。	这的照明是世界上最糟糕的照明。	not_entailment
这的照明是世界上最糟糕的照明。	这的照明是我所见过最糟糕的照明。	entailment
这个组合是我所见过最疯狂的组合。	这个组合是世界上最疯狂的组合。	not_entailment
这个组合是世界上最疯狂的组合。	这个组合是我所见过最疯狂的组合。	entailment
这个深度是我所见过最合适的深度。	这个深度是世界上最合适的深度。	not_entailment
这个深度是世界上最合适的深度。	这个深度是我所见过最合适的深度。	entailment
这片大海是我所见过最危险的大海。	这片大海是世界上最危险的大海。	not_entailment
这片大海是世界上最危险的大海。	这片大海是我所见过最危险的大海。	entailment
这个床铺是我所见过最矮小的床铺。	这个床铺是世界上最矮小的床铺。	not_entailment
这个床铺是世界上最矮小的床铺。	这个床铺是我所见过最矮小的床铺。	entailment
这个面包是我所见过最迷你的面包。	这个面包是世界上最迷你的面包。	not_entailment
这个面包是世界上最迷你的面包。	这个面包是我所见过最迷你的面包。	entailment
这个男孩是我所见过最健康的男孩。	这个男孩是世界上最健康的男孩。	not_entailment
这个男孩是世界上最健康的男孩。	这个男孩是我所见过最健康的男孩。	entailment
这个观众是我所见过最幸福的观众。	这个观众是世界上最幸福的观众。	not_entailment
这个观众是世界上最幸福的观众。	这个观众是我所见过最幸福的观众。	entailment
这个效果是我所见过最深刻的效果。	这个效果是世界上最深刻的效果。	not_entailment
这个效果是世界上最深刻的效果。	这个效果是我所见过最深刻的效果。	entailment
这个细节是我所见过最有趣的细节。	这个细节是世界上最有趣的细节。	not_entailment
这个细节是世界上最有趣的细节。	这个细节是我所见过最有趣的细节。	entailment
这个内饰是我所见过最优美的内饰。	这个内饰是世界上最优美的内饰。	not_entailment
这个内饰是世界上最优美的内饰。	这个内饰是我所见过最优美的内饰。	entailment
这个想法是我所见过最简单的想法。	这个想法是世界上最简单的想法。	not_entailment
这个想法是世界上最简单的想法。	这个想法是我所见过最简单的想法。	entailment
这个观点是我所见过最模糊的观点。	这个观点是世界上最模糊的观点。	not_entailment
这个观点是世界上最模糊的观点。	这个观点是我所见过最模糊的观点。	entailment
这次休息是我所见过最惬意的休息。	这次休息是世界上最惬意的休息。	not_entailment
这次休息是世界上最惬意的休息。	这次休息是我所见过最惬意的休息。	entailment
这艘船是我所见过最安全的船。	这艘船是世界上最安全的船。	not_entailment
这艘船是世界上最安全的船。	这艘船是我所见过最安全的船。	entailment
这个价格是我所见过最昂贵的价格。	这个价格是世界上最昂贵的价格。	not_entailment
这个价格是世界上最昂贵的价格。	这个价格是我所见过最昂贵的价格。	entailment
这个床铺是我所见过最热门的床铺。	这个床铺是世界上最热门的床铺。	not_entailment
这个床铺是世界上最热门的床铺。	这个床铺是我所见过最热门的床铺。	entailment
这个发现者是我所见过最可能的发现者。	这个发现者是世界上最可能的发现者。	not_entailment
这个发现者是世界上最可能的发现者。	这个发现者是我所见过最可能的发现者。	entailment
这个跟踪者是我所见过最确定的跟随者。	这个跟踪者是世界上最确定的跟随者。	not_entailment
这个跟踪者是世界上最确定的跟随者。	这个跟踪者是我所见过最确定的跟随者。	entailment
这个实验是我所见过最有趣的实验。	这个实验是世界上最有趣的实验。	not_entailment
这个实验是世界上最有趣的实验。	这个实验是我所见过最有趣的实验。	entailment
这个天花板是我所见过最矮小的天花板。	这个天花板是世界上最矮小的天花板。	not_entailment
这个天花板是世界上最矮小的天花板。	这个天花板是我所见过最矮小的天花板。	entailment
这个点是我所见过最清晰的点。	这个点是世界上最清晰的点。	not_entailment
这个点是世界上最清晰的点。	这个点是我所见过最清晰的点。	entailment
这个男孩是我所见过最沉默的男孩。	这个男孩是世界上最沉默的男孩。	not_entailment
这个男孩是世界上最沉默的男孩。	这个男孩是我所见过最沉默的男孩。	entailment
这条河流是我所见过最宽阔的河流。	这条河流是世界上最宽阔的河流。	not_entailment
这条河流是世界上最宽阔的河流。	这条河流是我所见过最宽阔的河流。	entailment
这蒸汽是我所见过最灼热的蒸汽。	这蒸汽是世界上最灼热的蒸汽。	not_entailment
这蒸汽是世界上最灼热的蒸汽。	这蒸汽是我所见过最灼热的蒸汽。	entailment
这种字体是我所见过最迷你的字体。	这种字体是世界上最迷你的字体。	not_entailment
这种字体是世界上最迷你的字体。	这种字体是我所见过最迷你的字体。	entailment
这个浓度是我所见过最正常的浓度。	这个浓度是世界上最正常的浓度。	not_entailment
这个浓度是世界上最正常的浓度。	这个浓度是我所见过最正常的浓度。	entailment
这种能量是我所见过最疯狂的能量。	这种能量是世界上最疯狂的能量。	not_entailment
这种能量是世界上最疯狂的能量。	这种能量是我所见过最疯狂的能量。	entailment
这个品牌是我所见过最知名的品牌。	这个品牌是世界上最知名的品牌。	not_entailment
这个品牌是世界上最知名的品牌。	这个品牌是我所见过最知名的品牌。	entailment
这件上衣是我所见过最干净的上衣。	这件上衣是世界上最干净的上衣。	not_entailment
这件上衣是世界上最干净的上衣。	这件上衣是我所见过最干净的上衣。	entailment
这位陶工是我所见过最年迈的陶工。	这位陶工是世界上最年迈的陶工。	not_entailment
这位陶工是世界上最年迈的陶工。	这位陶工是我所见过最年迈的陶工。	entailment
这笔交易是我所见过最完整的交易。	这笔交易是世界上最完整的交易。	not_entailment
这笔交易是世界上最完整的交易。	这笔交易是我所见过最完整的交易。	entailment
这个王子是我所见过最年轻的王子。	这个王子是世界上最年轻的王子。	not_entailment
这个王子是世界上最年轻的王子。	这个王子是我所见过最年轻的王子。	entailment
这个职业是我所见过最动荡的职业。	这个职业是世界上最动荡的职业。	not_entailment
这个职业是世界上最动荡的职业。	这个职业是我所见过最动荡的职业。	entailment
这个结局是我所见过最幸福的结局。	这个结局是世界上最幸福的结局。	not_entailment
这个结局是世界上最幸福的结局。	这个结局是我所见过最幸福的结局。	entailment
这个概念是我所见过最有趣的概念。	这个概念是世界上最有趣的概念。	not_entailment
这个概念是世界上最有趣的概念。	这个概念是我所见过最有趣的概念。	entailment
这个梦是我所见过最朦胧的梦。	这个梦是世界上最朦胧的梦。	not_entailment
这个梦是世界上最朦胧的梦。	这个梦是我所见过最朦胧的梦。	entailment
这瓶化妆水是我所见过最难闻的化妆水。	这瓶化妆水是世界上最难闻的化妆水。	not_entailment
这瓶化妆水是世界上最难闻的化妆水。	这瓶化妆水是我所见过最难闻的化妆水。	entailment
这块石头是我所见过最纯净的石头。	这块石头是世界上最纯净的石头。	not_entailment
这块石头是世界上最纯净的石头。	这块石头是我所见过最纯净的石头。	entailment
这个陶器是我所见过最合适的陶器。	这个陶器是世界上最合适的陶器。	not_entailment
这个陶器是世界上最合适的陶器。	这个陶器是我所见过最合适的陶器。	entailment
这次修复是我所见过最完整的修复。	这次修复是世界上最完整的修复。	not_entailment
这次修复是世界上最完整的修复。	这次修复是我所见过最完整的修复。	entailment
这只猫是我所见过最衰老的猫。	这只猫是世界上最衰老的猫。	not_entailment
这只猫是世界上最衰老的猫。	这只猫是我所见过最衰老的猫。	entailment
这结局是我所见过最反常的结局。	这结局是世界上最反常的结局。	not_entailment
这结局是世界上最反常的结局。	这结局是我所见过最反常的结局。	entailment
这远景是我所见过最可能的远景。	这远景是世界上最可能的远景。	not_entailment
这远景是世界上最可能的远景。	这远景是我所见过最可能的远景。	entailment
这首曲子是我所见过最新颖的曲子。	这首曲子是世界上最新颖的曲子。	not_entailment
这首曲子是世界上最新颖的曲子。	这首曲子是我所见过最新颖的曲子。	entailment
这段旅程是我所见过最可能的旅程。	这段旅程是世界上最可能的旅程。	not_entailment
这段旅程是世界上最可能的旅程。	这段旅程是我所见过最可能的旅程。	entailment
这块木头是我所见过最干燥的木头。	这块木头是世界上最干燥的木头。	not_entailment
这块木头是世界上最干燥的木头。	这块木头是我所见过最干燥的木头。	entailment
这座别墅是我所见过最古老的别墅。	这座别墅是世界上最古老的别墅。	not_entailment
这座别墅是世界上最古老的别墅。	这座别墅是我所见过最古老的别墅。	entailment
这位顾客是我所见过最饥饿的顾客。	这位顾客是世界上最饥饿的顾客。	not_entailment
这位顾客是世界上最饥饿的顾客。	这位顾客是我所见过最饥饿的顾客。	entailment
这张照片是我所见过最原始的照片。	这张照片是世界上最原始的照片。	not_entailment
这张照片是世界上最原始的照片。	这张照片是我所见过最原始的照片。	entailment
这个经济是我所见过最繁荣的经济。	这个经济是世界上最繁荣的经济。	not_entailment
这个经济是世界上最繁荣的经济。	这个经济是我所见过最繁荣的经济。	entailment
这天气是我所见过最寒冷的天气。	这天气是世界上最寒冷的天气。	not_entailment
这天气是世界上最寒冷的天气。	这天气是我所见过最寒冷的天气。	entailment
这种字体是我所见过最合适的字体。	这种字体是世界上最合适的字体。	not_entailment
这种字体是世界上最合适的字体。	这种字体是我所见过最合适的字体。	entailment
