premise	hypothesis	label
可能性是肯定的。	可能性不是无限的。	entailment
可能性不是无限的。	可能性是肯定的。	entailment
这片树林很纯粹。	这片林地并未达到饱和状态。	entailment
这片林地并未达到饱和状态。	这片林子很纯净。	entailment
这部电影是独立制作的。	这部电影不是独立制作的。	entailment
这部电影不是独立制作的。	这部电影是独立制作的。	entailment
网络很脏。	网络并不干净。	entailment
网络并不干净。	网络很脏。	entailment
这个幽默很奇特。	幽默并不均匀。	entailment
幽默并不均匀。	这个幽默很奇特。	entailment
飞行员安全。	飞行员并不危险。	entailment
飞行员并不危险。	飞行员安全。	entailment
农场很健康。	这个农场并非不健康。	entailment
这个农场并非不健康。	农场很健康。	entailment
这种感觉很确定。	这种感觉不是无期限的。	entailment
这种感觉不是无限的。	这种感觉是确定无疑的。	entailment
内部很干净。	内部并不脏。	entailment
内部并不脏。	内部很干净。	entailment
诊断结果正常。	诊断结果并无异常。	entailment
诊断结果并无异常。	诊断结果正常。	entailment
困难是深刻的。	困难并非表面的。	entailment
困难并非表面的。	困难是深刻的。	entailment
模拟已完成。	该模拟并非不完整。	entailment
模拟并未完成。	模拟已完成。	entailment
喉咙干燥。	喉咙不甜。	entailment
喉咙不甜。	喉咙干燥。	entailment
风险可以接受。	该风险是可以接受的。	entailment
风险并非不可接受。	风险可以接受。	entailment
感觉不一样。	感觉不像。	entailment
感觉不像。	感觉不一样。	entailment
环境不同。	环境不是这样的。	entailment
环境不是这样的。	环境不同。	entailment
气氛很危险。	气氛不安全。	entailment
气氛不安全。	气氛很危险。	entailment
这根梁是直的。	这根梁没有弯曲。	entailment
这根梁没有弯曲。	这根梁是直的。	entailment
这个女孩很安全。	这个女孩没有危险。	entailment
这个女孩没有危险。	这个女孩很安全。	entailment
这个任务不可能完成。	该探索不可能完成。	entailment
该探索不可能完成。	这个任务是不可能的。	entailment
这块石头很光滑。	这块石头不粗糙。	entailment
这块石头并不粗糙。	这块石头很光滑。	entailment
手术是安全的。	这个手术并不危险。	entailment
这个手术并不危险。	手术是安全的。	entailment
这个家庭都病了。	这个家庭状况不好。	entailment
这个家庭状况不佳。	这家人生病了。	entailment
咖啡已经干了。	咖啡不甜。	entailment
咖啡不甜。	咖啡已经干了。	entailment
这个名字是确定的。	这个名字不是不确定的。	entailment
这个名字不是不定的。	这个名字是确定的。	entailment
审计已完成。	审计并未完成。	entailment
审计并未完成。	审计已完成。	entailment
血液是干净的。	血液并不脏。	entailment
血液并不脏。	血液是干净的。	entailment
沙漠是干燥的。	沙漠并不甜美。	entailment
沙漠并不甜美。	沙漠是干燥的。	entailment
包装可以接受。	该包装并非不可接受。	entailment
该包装并非不可接受。	包装可以接受。	entailment
下降是肯定的。	这种下降不是无止境的。	entailment
这种下降不是无止境的。	衰退是肯定的。	entailment
这座小山很平坦。	这个山丘不是自然形成的。	entailment
这个山不是天然的。	这座山是平坦的。	entailment
土壤很干燥。	土壤并不肥沃。	entailment
土壤并不肥沃。	土壤很干燥。	entailment
土壤很脏。	土壤不干净。	entailment
土壤不干净。	土壤很脏。	entailment
海洋是健康的。	海洋并非不健康。	entailment
海洋并非不健康。	海洋是健康的。	entailment
机会很明显。	机会并非不明确。	entailment
机会并非不清晰。	机会是清晰的。	entailment
学校很安全。	这所学校不危险。	entailment
这所学校不危险。	学校很安全。	entailment
该珠宝是可能的。	该珠宝并非真品。	entailment
这些珠宝不是真的。	珠宝是可能的。	entailment
表面很干净。	表面不脏。	entailment
表面不脏。	表面很干净。	entailment
病人很健康。	病人并非不健康。	entailment
病人并非不健康。	病人很健康。	entailment
参考书目已完成。	参考书目并不不完整。	entailment
参考书目并非不完整。	参考书目已完成。	entailment
主体是安全的。	该主体并无危险。	entailment
这个主体并无危险。	该受试者是安全的。	entailment
过渡很平稳。	过渡并不剧烈。	entailment
过渡并不粗糙。	过渡很顺畅。	entailment
森林很干燥。	森林并不甜美。	entailment
森林并不甜美。	森林很干燥。	entailment
日期已确定。	日期不是不确定的。	entailment
