premise	hypothesis	label
这条路很丑陋。	这个词很丑陋	not_entailment
这个词很丑。	这条路很丑陋。	not_entailment
这个泵效率很高。	DNA的效率很高	not_entailment
dna很高效	这台泵效率很高。	not_entailment
草地很美。	海洋很美	not_entailment
海洋很美	草地很美。	not_entailment
这座房子很难看。	情况很糟糕	not_entailment
情况很糟糕	这座房子很丑。	not_entailment
天气很冷。	二月很冷。	not_entailment
二月很冷	天气很冷。	not_entailment
这首歌很合适。	美国人很合适	not_entailment
这个美国人很合适	这首歌很合适。	not_entailment
水牛很胖。	战利品很丰厚	not_entailment
战利品很丰厚	水牛很胖。	not_entailment
步行者很开心。	老板很开心	not_entailment
老板很开心	步行者很开心。	not_entailment
行人是明智的。	知更鸟很聪明	not_entailment
知更鸟很聪明	步行者是睿智的。	not_entailment
这个家伙很有趣。	真相很有趣	not_entailment
真相是有趣的	这个家伙很有趣。	not_entailment
底部很干净。	湖很干净	not_entailment
这个湖很干净	底部很干净。	not_entailment
该平台很有价值。	这种材料很有价值	not_entailment
该材料很有价值	该平台很有价值。	not_entailment
结果令人不快。	这音乐不好听。	not_entailment
这音乐令人不悦。	结果令人不悦。	not_entailment
陶工很担心。	公众很担忧。	not_entailment
公众很担忧。	陶工很担心。	not_entailment
这个组合很有吸引力。	另一个很有吸引力	not_entailment
另一个很有吸引力	这个组合很有吸引力。	not_entailment
现实令人恐惧。	这个东西很吓人	not_entailment
这个东西很吓人	现实令人恐惧。	not_entailment
办公室很拥挤。	世界很拥挤	not_entailment
世界很拥挤	办公室很拥挤。	not_entailment
酒吧很热闹。	磨坊主很活泼	not_entailment
磨坊主很活泼	酒吧很热闹。	not_entailment
这笔钱来路不正。	天空很脏	not_entailment
天空很脏	这笔钱来路不正。	not_entailment
剩下的都很有趣。	这个行人很有趣。	not_entailment
这个行人很有趣。	剩下的都很有趣。	not_entailment
结果是奇数。	加利福尼亚很奇怪	not_entailment
加利福尼亚很奇怪	结果是奇数。	not_entailment
这个水果很好吃。	这只鸡很好吃。	not_entailment
鸡肉很美味	这个水果很美味。	not_entailment
购物者很聪明。	这个男孩很聪明	not_entailment
这个男孩很聪明。	购物者很聪明。	not_entailment
这部剧很无趣。	这个圣诞老人很愚蠢	not_entailment
圣诞老人很傻	这部剧很没意思。	not_entailment
这种类型很少见。	委内瑞拉是不寻常的	not_entailment
委内瑞拉是不寻常的	这种类型很少见。	not_entailment
这东西很好吃。	这个准备很美味	not_entailment
这个准备很美味	这东西很好吃。	not_entailment
时机糟糕透顶。	寒冷真难受	not_entailment
寒冷真是太糟糕了	时机太糟糕了。	not_entailment
市场很热闹。	酒吧很热闹	not_entailment
酒吧很热闹	市场很热闹。	not_entailment
这个梦很吓人。	这部电影很吓人	not_entailment
这部电影令人毛骨悚然。	这个梦很吓人。	not_entailment
亚历山大就在附近。	吉米就在附近	not_entailment
吉米就在附近	亚历山大就在附近。	not_entailment
海滩很脏。	厨房很脏	not_entailment
厨房很脏	海滩很脏。	not_entailment
天空很冷。	汤冷了	not_entailment
汤是冷的。	天空很冷。	not_entailment
这座别墅很不寻常。	这个树林很不寻常	not_entailment
这片树林很不寻常。	这座别墅很不寻常。	not_entailment
设计很有吸引力。	这个提议很有吸引力	not_entailment
这个提议很有吸引力	设计很吸引人。	not_entailment
亚历山大长得很高。	加勒比地区很长	not_entailment
加勒比海地区很长。	亚历山大长得很高。	not_entailment
亚历山大是小的。	阿根廷很小	not_entailment
阿根廷很小	亚历山大很小。	not_entailment
纪念品是私人的。	东芝是个人的	not_entailment
东芝是个人的	这些纪念品很私人物品。	not_entailment
监狱很拥挤。	竞技场很拥挤	not_entailment
体育场里人很多	监狱很拥挤。	not_entailment
这本书很有趣。	吉米很有趣	not_entailment
吉米很有趣	这本书很有趣。	not_entailment
杀戮瞬间完成。	夏洛特动作很快	not_entailment
夏洛特动作很快	猎杀很迅速。	not_entailment
这个铁匠很不寻常。	这个铁匠很不寻常	not_entailment
这个铁匠很不寻常	这个铁匠很不寻常。	not_entailment
这家公司很有价值。	该档案很有价值	not_entailment
档案很有价值	这家公司很有价值。	not_entailment
客户较为成熟。	市场已成熟	not_entailment
市场已成熟	客户很成熟。	not_entailment
这个系统很弱。	该系统很弱	not_entailment
该系统很弱	该系统很弱。	not_entailment
沙漠很干燥。	九月是干燥的。	not_entailment
九月是干燥的	沙漠很干燥。	not_entailment
汤很冷。	这笔钱很冷。	not_entailment
这笔钱很冷	汤很冷。	not_entailment
这首歌很有趣。	这行生意挺有趣的。	not_entailment
这行当挺有趣	这首歌很有趣。	not_entailment
该许可证是个人的。	重点在于个人	not_entailment
重点在于个人	该许可证是个人的。	not_entailment
刘易斯很美。	这个颜色很漂亮	not_entailment
这个颜色很漂亮	刘易斯很美。	not_entailment
法律是丑陋的。	这个面具很丑	not_entailment
这个面具很丑	法律是丑陋的。	not_entailment
这个节目很傻。	豪华版很傻	not_entailment
豪华版很愚蠢	这个节目很傻。	not_entailment
解决方案令人惊讶。	悉尼令人惊喜	not_entailment
悉尼令人惊喜	这个答案令人惊讶。	not_entailment
原因非同寻常。	这个形状很不寻常	not_entailment
这个形状很不寻常	原因很不寻常。	not_entailment
消费者是成熟的。	作者很成熟	not_entailment
作者很成熟	消费者是成熟的。	not_entailment
这项工作很有价值。	这家公司很有价值	not_entailment
这家公司很有价值	这项工作很有价值。	not_entailment
这个陶器很有名。	这个陶器很有名。	not_entailment
这个陶器很有名	这个陶器很有名。	not_entailment
机场很拥挤。	餐厅很拥挤	not_entailment
这家餐厅很拥挤	机场很拥挤。	not_entailment
打屁股是不好的。	这个消息很糟糕	not_entailment
这个消息很糟糕	打屁股是不好的。	not_entailment
地板暗淡无光。	灯有点暗	not_entailment
灯很暗。	地板昏暗。	not_entailment
这个水果很甜。	怀俄明很甜美	not_entailment
怀俄明很甜美	这个水果很甜。	not_entailment
这首歌很恐怖。	公园令人毛骨悚然	not_entailment
公园很恐怖	这首歌很恐怖。	not_entailment
里面令人毛骨悚然。	这眼神令人毛骨悚然	not_entailment
这眼神怪吓人的	里面令人毛骨悚然。	not_entailment
土壤是潮湿的。	街道是潮湿的	not_entailment
街道是潮湿的	土壤是潮湿的。	not_entailment
消费者是高效的。	这台计算机效率很高	not_entailment
计算机效率高	消费者是高效的。	not_entailment
花店是私人的。	这座别墅很私密	not_entailment
这座别墅很私密	花店是私人的。	not_entailment
蓝色很漂亮。	这个峡谷很美。	not_entailment
这个峡谷很美。	蓝色很漂亮。	not_entailment
解决方案是快速的。	驾驶很快	not_entailment
驾驶很迅速	解决方案是快速的。	not_entailment
罪行是暴力性质的。	亚马孙（雨林）是凶猛的。	not_entailment
亚马逊森林（雨林）是充满激烈竞争的。	罪行是暴力的。	not_entailment
该表述具有误导性。	这个广告具有误导性	not_entailment
这个广告具有误导性	该表述具有误导性。	not_entailment
牛肉很多。	娱乐活动丰富多样	not_entailment
娱乐活动丰富多样	牛肉很多。	not_entailment
这个景色令人不悦。	这个梦是令人不愉快的	not_entailment
这个梦很不愉快。	这个景色令人不悦。	not_entailment
这种药物很昂贵。	硬件很昂贵。	not_entailment
硬件很昂贵	这种药物很昂贵。	not_entailment
这个树林很小。	这个村庄很小。	not_entailment
这个村庄很小	这片树林很小。	not_entailment
混凝土是潮湿的。	地球是潮湿的	not_entailment
地球是潮湿的	混凝土是潮湿的。	not_entailment
这个孩子很有能力。	军队有能力。	not_entailment
军队有能力	这个孩子有能力。	not_entailment
铁匠年纪大了。	这个行人年纪大了	not_entailment
这位步行者年纪大了。	铁匠年纪大了。	not_entailment
领导力薄弱。	刘易斯很虚弱	not_entailment
刘易斯很虚弱	领导力薄弱。	not_entailment
语调悲伤。	圣诞节令人感到悲伤	not_entailment
圣诞节令人伤感。	语气悲伤。	not_entailment
这个胖子很胖。	罗素很胖	not_entailment
罗素很胖	脂肪就是脂肪。	not_entailment
这台电脑很笨。	穆斯林是哑巴	not_entailment
该穆斯林是哑巴	计算机是愚蠢的。	not_entailment
这个计划很有趣。	世界很有趣	not_entailment
世界很有趣	这个计划很有趣。	not_entailment
这张DVD是坏的。	这张DVD不好	not_entailment
这张DVD质量不好。	这张DVD是坏的。	not_entailment
镜子很丑。	月亮很丑	not_entailment
月亮很丑	镜子很丑。	not_entailment
这个铁匠很奇怪。	气氛很奇怪	not_entailment
气氛很奇怪	这个铁匠很奇怪。	not_entailment
这项技术很昂贵。	这个瓷器很贵	not_entailment
这个瓷器很贵	这项技术很昂贵。	not_entailment
这个水果很特别。	密歇根州很不寻常	not_entailment
密歇根州很不寻常	这个水果很特别。	not_entailment
耶稣是伟大的。	这片树林很大。	not_entailment
这片树林很大	耶稣是伟大的。	not_entailment
这枚戒指很珍贵。	该手册很有价值	not_entailment
这本手册很有价值。	这枚戒指很珍贵。	not_entailment
该导语具有误导性。	这个广告具有误导性	not_entailment
这个广告具有误导性。	该导语具有误导性。	not_entailment
黑暗很可怕。	这个场景很恐怖	not_entailment
这个场景很吓人	黑暗令人害怕。	not_entailment
气氛活跃。	人群很活跃	not_entailment
人群很活跃	气氛活跃。	not_entailment
亚历山大累了。	机器累了	not_entailment
机器累了	亚历山大累了。	not_entailment
这个案例很有趣。	结果很有趣	not_entailment
结果很有趣	这个案件很有趣。	not_entailment
这条小溪很美。	草地很漂亮	not_entailment
草地很美	这条小溪很美。	not_entailment
大脑富含脂肪。	这只狼很肥	not_entailment
狼很肥	大脑含有脂肪。	not_entailment
斗争很艰难。	竞争很激烈	not_entailment
竞争很激烈	斗争很艰难。	not_entailment
蓝牙效果很好。	前景看好	not_entailment
前景看好	蓝牙很好。	not_entailment
情况很有趣。	其余的都很有趣	not_entailment
其余的都很有趣	情况很有趣。	not_entailment
