premise	hypothesis	label
这块镜子是相对比较干净的。	这块镜子是干净的。	not_entailment
这部电影是愚蠢的。	这部电影是相对比较愚蠢的。	entailment
这部电影是相对比较愚蠢的。	这部电影是愚蠢的。	not_entailment
这个问题是成熟的。	这个问题是相对比较成熟的。	entailment
这个问题是相对比较成熟的。	这个问题是成熟的。	not_entailment
这个集市是活跃的。	这个集市是相对比较活跃的。	entailment
这个集市是相对比较活跃的。	这个集市是活跃的。	not_entailment
这只鲨鱼是饥饿的。	这只鲨鱼是相对比较饥饿的。	entailment
这只鲨鱼是相对比较饥饿的。	这只鲨鱼是饥饿的。	not_entailment
这个选择是宝贵的。	这个选择是相对比较宝贵的。	entailment
这个选择是相对比较宝贵的。	这个选择是宝贵的。	not_entailment
这台磨光机是漂亮的。	这台磨光机是相对比较漂亮的。	entailment
这台磨光机是相对比较漂亮的。	这台磨光机是漂亮的。	not_entailment
这个故事是古怪的。	这个故事是相对比较古怪的。	entailment
这个故事是相对比较古怪的。	这个故事是古怪的。	not_entailment
这条小溪是漂亮的。	这条小溪是相对比较漂亮的。	entailment
这条小溪是相对比较漂亮的。	这条小溪是漂亮的。	not_entailment
这首音乐是漂亮的。	这首音乐是相对比较漂亮的。	entailment
这首音乐是相对比较漂亮的。	这首音乐是漂亮的。	not_entailment
这片沙漠是干燥的。	这片沙漠是相对比较干燥的。	entailment
这片沙漠是相对比较干燥的。	这片沙漠是干燥的。	not_entailment
这家人是饥饿的。	这家人是相对比较饥饿的。	entailment
这家人是相对比较饥饿的。	这家人是饥饿的。	not_entailment
这次休息是短暂的。	这次休息是相对比较短暂的。	entailment
这次休息是相对比较短暂的。	这次休息是短暂的。	not_entailment
这块混凝土是潮湿的。	这块混凝土是相对比较潮湿的。	entailment
这块混凝土是相对比较潮湿的。	这块混凝土是潮湿的。	not_entailment
这记忆力是宝贵的。	这记忆力是相对比较宝贵的。	entailment
这记忆力是相对比较宝贵的。	这记忆力是宝贵的。	not_entailment
这个邻居是坚韧的。	这个邻居是相对比较坚韧的。	entailment
这个邻居是相对比较坚韧的。	这个邻居是坚韧的。	not_entailment
这个图案是特别的。	这个图案是相对比较特别的。	entailment
这个图案是相对比较特别的。	这个图案是特别的。	not_entailment
这法律是有力的。	这法律是相对比较有力的。	entailment
这法律是相对比较有力的。	这法律是有力的。	not_entailment
这块肉是肥胖的。	这块肉是相对比较肥胖的。	entailment
这块肉是相对比较肥胖的。	这块肉是肥胖的。	not_entailment
这首说唱是悲伤的。	这首说唱是相对比较悲伤的。	entailment
这首说唱是相对比较悲伤的。	这首说唱是悲伤的。	not_entailment
这个事情是疯狂的。	这个事情是相对比较疯狂的。	entailment
这个事情是相对比较疯狂的。	这个事情是疯狂的。	not_entailment
亚历山大是年轻的。	亚历山大是相对比较年轻的。	entailment
亚历山大是相对比较年轻的。	亚历山大是年轻的。	not_entailment
这个酒吧是拥挤的。	这个酒吧是相对比较拥挤的。	entailment
这个酒吧是相对比较拥挤的。	这个酒吧是拥挤的。	not_entailment
这个过程是成熟的。	这个过程是相对比较成熟的。	entailment
这个过程是相对比较成熟的。	这个过程是成熟的。	not_entailment
