premise	hypothesis	label
这块地是非常潮湿的。	这块地是潮湿的。	entailment
这首歌曲是滑稽的。	这首歌曲是非常滑稽的。	not_entailment
这首歌曲是非常滑稽的。	这首歌曲是滑稽的。	entailment
这土壤是潮湿的。	这土壤是非常潮湿的。	not_entailment
这土壤是非常潮湿的。	这土壤是潮湿的。	entailment
这种曲调是可爱的。	这种曲调是非常可爱的。	not_entailment
这种曲调是非常可爱的。	这种曲调是可爱的。	entailment
这次移动是合适的。	这次移动是非常合适的。	not_entailment
这次移动是非常合适的。	这次移动是合适的。	entailment
这个答复是恐怖的。	这个答复是非常恐怖的。	not_entailment
这个答复是非常恐怖的。	这个答复是恐怖的。	entailment
这片大海是遥远的。	这片大海是非常遥远的。	not_entailment
这片大海是非常遥远的。	这片大海是遥远的。	entailment
这名美食家是饥饿的。	这名美食家是非常饥饿的。	not_entailment
这名美食家是非常饥饿的。	这名美食家是饥饿的。	entailment
这声铃声是滑稽的。	这声铃声是非常滑稽的。	not_entailment
这声铃声是非常滑稽的。	这声铃声是滑稽的。	entailment
这首歌曲是合适的。	这首歌曲是非常合适的。	not_entailment
这首歌曲是非常合适的。	这首歌曲是合适的。	entailment
这块混凝土是潮湿的。	这块混凝土是非常潮湿的。	not_entailment
这块混凝土是非常潮湿的。	这块混凝土是潮湿的。	entailment
这个镇子是安静的。	这个镇子是非常安静的。	not_entailment
这个镇子是非常安静的。	这个镇子是安静的。	entailment
这个男人是滑稽的。	这个男人是非常滑稽的。	not_entailment
这个男人是非常滑稽的。	这个男人是滑稽的。	entailment
这个陶器是困难的。	这个陶器是非常困难的。	not_entailment
这个陶器是非常困难的。	这个陶器是困难的。	entailment
这质量是不错的。	这质量是非常不错的。	not_entailment
这质量是非常不错的。	这质量是不错的。	entailment
这古罗马人是明智的。	这古罗马人是非常明智的。	not_entailment
这古罗马人是非常明智的。	这古罗马人是明智的。	entailment
这部电影是悲伤的。	这部电影是非常悲伤的。	not_entailment
这部电影是非常悲伤的。	这部电影是悲伤的。	entailment
这块肉是肥胖的。	这块肉是非常肥胖的。	not_entailment
这块肉是非常肥胖的。	这块肉是肥胖的。	entailment
这个价格是糟糕的。	这个价格是非常糟糕的。	not_entailment
这个价格是非常糟糕的。	这个价格是糟糕的。	entailment
这个主意是烦人的。	这个主意是非常烦人的。	not_entailment
这个主意是非常烦人的。	这个主意是烦人的。	entailment
这个陶器是著名的。	这个陶器是非常著名的。	not_entailment
这个陶器是非常著名的。	这个陶器是著名的。	entailment
这个蓝牙是好用的。	这个蓝牙是非常好用的。	not_entailment
这个蓝牙是非常好用的。	这个蓝牙是好用的。	entailment
这间监狱是拥挤的。	这间监狱是非常拥挤的。	not_entailment
这间监狱是非常拥挤的。	这间监狱是拥挤的。	entailment
这只鸟是美味的。	这只鸟是非常美味的。	not_entailment
这只鸟是非常美味的。	这只鸟是美味的。	entailment
这段休息时间是个人的。	这段休息时间是非常个人的。	not_entailment
这段休息时间是非常个人的。	这段休息时间是个人的。	entailment
这个解决方案是快速的。	这个解决方案是非常快速的。	not_entailment
这个解决方案是非常快速的。	这个解决方案是快速的。	entailment
这座公园是怪异的。	这座公园是非常怪异的。	not_entailment
这座公园是非常怪异的。	这座公园是怪异的。	entailment
这条金属丝是纤细的。	这条金属丝是非常纤细的。	not_entailment
这条金属丝是非常纤细的。	这条金属丝是纤细的。	entailment
这个男人是聪明的。	这个男人是非常聪明的。	not_entailment
这个男人是非常聪明的。	这个男人是聪明的。	entailment
马丁是聪明的。	马丁是非常聪明的。	not_entailment
马丁是非常聪明的。	马丁是聪明的。	entailment
这个集市是冷清的。	这个集市是非常冷清的。	not_entailment
这个集市是非常冷清的。	这个集市是冷清的。	entailment
这个海滩是肮脏的。	这个海滩是非常肮脏的。	not_entailment
这个海滩是非常肮脏的。	这个海滩是肮脏的。	entailment
这首音乐是漂亮的。	这首音乐是非常漂亮的。	not_entailment
这首音乐是非常漂亮的。	这首音乐是漂亮的。	entailment
亚历山大是能干的。	亚历山大是非常能干的。	not_entailment
亚历山大是非常能干的。	亚历山大是能干的。	entailment
这名君主是明智的。	这名君主是非常明智的。	not_entailment
这名君主是非常明智的。	这名君主是明智的。	entailment
这碗汤是寒冷的。	这碗汤是非常寒冷的。	not_entailment
这碗汤是非常寒冷的。	这碗汤是寒冷的。	entailment
这条连衣裙是漂亮的。	这条连衣裙是非常漂亮的。	not_entailment
这条连衣裙是非常漂亮的。	这条连衣裙是漂亮的。	entailment
这种用法是合适的。	这种用法是非常合适的。	not_entailment
这种用法是非常合适的。	这种用法是合适的。	entailment
这个指向是个人的。	这个指向是非常个人的。	not_entailment
这个指向是非常个人的。	这个指向是个人的。	entailment
这开始是凄凉的。	这开始是非常凄凉的。	not_entailment
这开始是非常凄凉的。	这开始是凄凉的。	entailment
这个间谍是聪明的。	这个间谍是非常聪明的。	not_entailment
这个间谍是非常聪明的。	这个间谍是聪明的。	entailment
这个后果是难受的。	这个后果是非常难受的。	not_entailment
这个后果是非常难受的。	这个后果是难受的。	entailment
这次休息是悲伤的。	这次休息是非常悲伤的。	not_entailment
这次休息是非常悲伤的。	这次休息是悲伤的。	entailment
这个邻居是坚韧的。	这个邻居是非常坚韧的。	not_entailment
这个邻居是非常坚韧的。	这个邻居是坚韧的。	entailment
这个设计是迷人的。	这个设计是非常迷人的。	not_entailment
这个设计是非常迷人的。	这个设计是迷人的。	entailment
这边境是寒冷的。	这边境是非常寒冷的。	not_entailment
这边境是非常寒冷的。	这边境是寒冷的。	entailment
这个房屋是暗淡的。	这个房屋是非常暗淡的。	not_entailment
这个房屋是非常暗淡的。	这个房屋是暗淡的。	entailment
这个游戏是暴力的。	这个游戏是非常暴力的。	not_entailment
这个游戏是非常暴力的。	这个游戏是暴力的。	entailment
这个真相是残酷的。	这个真相是非常残酷的。	not_entailment
这个真相是非常残酷的。	这个真相是残酷的。	entailment
这个实验是有趣的。	这个实验是非常有趣的。	not_entailment
这个实验是非常有趣的。	这个实验是有趣的。	entailment
