premise	hypothesis	label
这空气比这块斜纹棉布更肮脏。	这块斜纹棉布不是肮脏的。	entailment
这个结论比这个强调更积极。	这个结论是积极的。	not_entailment
这个结论比这个强调更积极。	这个强调不是积极的。	entailment
这次旅行比这个四月更困难。	这次旅行是困难的。	not_entailment
这次旅行比这个四月更困难。	这个四月不是困难的。	entailment
这名平民的比这个读者更失望。	这名平民的是失望的。	not_entailment
这名平民的比这个读者更失望。	这个读者不是失望的。	entailment
这种算法比这个问题更容易。	这种算法是容易的。	not_entailment
这种算法比这个问题更容易。	这个问题不是容易的。	entailment
这片树林比哥伦比亚更宽敞。	这片树林是宽敞的。	not_entailment
这片树林比哥伦比亚更宽敞。	哥伦比亚不是宽敞的。	entailment
这种程序错误比这种基因更少见。	这种程序错误是少见的。	not_entailment
这种程序错误比这种基因更少见。	这种基因不是少见的。	entailment
这个故事比这段关系更特别。	这个故事是特别的。	not_entailment
这个故事比这段关系更特别。	这段关系不是特别的。	entailment
这不同种类比这种糖果更美味。	这不同种类是美味的。	not_entailment
这不同种类比这种糖果更美味。	这种糖果不是美味的。	entailment
这次纠正比这个男人更愚蠢。	这次纠正是愚蠢的。	not_entailment
这次纠正比这个男人更愚蠢。	这个男人不是愚蠢的。	entailment
这个小孩比这个军官更能干。	这个小孩是能干的。	not_entailment
这个小孩比这个军官更能干。	这个军官不是能干的。	entailment
以太网比这种电池更高效。	以太网是高效的。	not_entailment
以太网比这种电池更高效。	这种电池不是高效的。	entailment
这个DVD比这气候更危险。	这个DVD是危险的。	not_entailment
这个DVD比这气候更危险。	这气候不是危险的。	entailment
这开始比这情绪更凄凉。	这开始是凄凉的。	not_entailment
这开始比这情绪更凄凉。	这情绪不是凄凉的。	entailment
这群人比这片树林更活跃。	这群人是活跃的。	not_entailment
这群人比这片树林更活跃。	这片树林不是活跃的。	entailment
这种糖果比这种调味汁更美味。	这种糖果是美味的。	not_entailment
这种糖果比这种调味汁更美味。	这种调味汁不是美味的。	entailment
这间房屋比这个人更丑陋。	这间房屋是丑陋的。	not_entailment
这间房屋比这个人更丑陋。	这个人不是丑陋的。	entailment
这语气比这个圣诞节更悲伤。	这语气是悲伤的。	not_entailment
这语气比这个圣诞节更悲伤。	这个圣诞节不是悲伤的。	entailment
