premise	hypothesis	label
这是我见过的最纯净的盐。	这种盐是世界上最纯净的盐。	not_entailment
这种盐是世界上最纯净的盐。	这是我见过的最纯净的盐。	entailment
这首歌是我见过的最原创的歌曲。	这首歌是世界上最原创的歌曲。	not_entailment
这首歌是世界上最原创的歌曲。	这首歌是我见过的最具原创性的歌曲。	entailment
这是我见过最丰富的石油。	这是世界上最富饶的石油。	not_entailment
这是世界上含油量最丰富的石油。	这是我见过的最丰富的油。	entailment
这个语境是我见过的最特殊的语境。	这个上下文是世界上最特别的上下文。	not_entailment
这个上下文是世界上最特殊的上下文。	这个语境是我见过的最特别的语境。	entailment
这是我见过的最弱的反对派。	反对派是世界上最弱的反对派。	not_entailment
反对派是世界上最弱的反对派。	这是我见过的最弱的反对派。	entailment
这是我见过的最直的按摩棒。	该 dildo 是世界上最直的 dildo。	not_entailment
该 dildo 是世界上最直的 dildo。	这是我见过的最直的假阳具。	entailment
这个方程式是我见过的最简单的方程式。	这个方程式是世界上最简单的方程式。	not_entailment
这个方程式是世界上最简单的方程式。	这个方程式是我见过的最简单的方程式。	entailment
这是我见过的最肥沃的土壤。	这片土壤是世界上最肥沃的土壤。	not_entailment
这片土壤是世界上最肥沃的土壤。	这是我见过的最肥沃的土壤。	entailment
这份参考书目是我见过的最长的参考书目。	这个参考书目是世界上最长的参考书目。	not_entailment
这个参考书目是世界上最长的参考书目。	这个参考书目是我见过的最长的参考书目。	entailment
这是我见过的最清澈的天空。	天空是世界上最清澈的天空。	not_entailment
天空是世界上最清澈的天空。	这是我见过的最清澈的天空。	entailment
这座别墅是我见过的最豪华的别墅。	这座别墅是世界上最豪华的别墅。	not_entailment
这座别墅是世界上最豪华的别墅。	这座别墅是我见过的最豪华的别墅。	entailment
这句话的译文是：这声音是我见过的最温柔的声音。	这声音是世界上最温柔的声音。	not_entailment
这声音是世界上最温柔的声音。	这个声音是我见过的最温柔的声音。	entailment
这是我见过最厚的塑料。	这种塑料是世界上最厚的塑料。	not_entailment
这种塑料是世界上最厚的塑料。	这是我见过最厚的塑料。	entailment
这是我见过的最便宜的空气。	“空气是世界上最便宜的空气。”	not_entailment
空气是世界上最便宜的空气。	这是我见过的最便宜的空气。	entailment
这条领带是我见过最笔直的领带。	这条领带是世界上最直的领带。	not_entailment
这条领带是世界上最直的领带。	这条领带是我见过的最笔直的领带。	entailment
这是我见过的最浅的海岸。	这是世界上最浅的海岸。	not_entailment
这是世界上最浅的海岸。	这是我见过的最浅的海岸。	entailment
这是我见过的最短的标题。	这本书的书名是世界上最短的书名。	not_entailment
标题是世界上最短的标题。	这是我见过的最短的标题。	entailment
这个角是我见过最直的角。	这个角是世界上最直的角。	not_entailment
这个角是世界上最直的角。	这个角是我见过的最直的角。	entailment
这个谜团是我见过的最完整的谜团。	这个谜团是世界上最完整的谜团。	not_entailment
这个谜团是世界上最完整的谜团。	这个谜团是我所见过的最完整的谜团。	entailment
这位女性是我见过的最高的女性。	这个女性是世界上最高的女性。	not_entailment
这个女性是世界上最高的女性。	这个女性是我见过的最高的女性。	entailment
这个问题是我见过的最困难的问题。	这个问题是世界上最难的问题。	not_entailment
这个问题是世界上最难的问题。	这个问题是我见过的最困难的问题。	entailment
这条路是我见过的最直接的路线。	这条路是世界上最直接的路线。	not_entailment
这条路是世界上最直接的路线。	这条路是我见过的最直接的路线。	entailment
这是我见过的最低收入。	这是世界上最低的收入。	not_entailment
这是世界上最低的收入。	这是我见过的最低收入。	entailment
这个灯光是我见过最差的灯光。	这个灯光是世界上最差的灯光。	not_entailment
这是世界上最差的照明。	这是我见过的最差的灯光。	entailment
这个组合是我见过的最疯狂的组合。	这个组合是世界上最疯狂的组合。	not_entailment
这个组合是世界上最疯狂的组合。	这个组合是我见过的最疯狂的组合。	entailment
这个深度是我见过的最可接受的深度。	这个深度是世界上最可接受的深度。	not_entailment
这个深度是世界上最可接受的深度。	这个深度是我见过的最可接受的深度。	entailment
这片海是我见过最脏的海。	这片海洋是世界上最病态的海洋。	not_entailment
这片海是世界上最脏的海。	这是我见过的最脏的海。	entailment
这套床品是我见过的最低价的床品。	这块床单是世界上最低的床单。	not_entailment
这块床垫是世界上最薄的床垫。	这是我见过的最低的床铺。	entailment
这块面包是我见过的最薄的面包。	这块面包是世界上最薄的面包。	not_entailment
这块面包是世界上最薄的面包。	这块面包是我见过的最薄的面包。	entailment
这个男孩是我见过最健康的男孩。	这个男孩是世界上最健康的男孩。	not_entailment
这个男孩是世界上最健康的男孩。	这个男孩是我见过最健康的男孩。	entailment
这是我见过最开心的观众。	观众是世界上最幸福的观众。	not_entailment
观众是世界上最幸福的观众。	这是我见过最开心的观众。	entailment
这个效果是我见过的最为深远的影响。	这个效应是世界上最深远的影响。	not_entailment
这个效应是世界上最深远的影响。	这个效果是我见过的最深刻的效果。	entailment
这个细节是我见过最丰富的细节。	细节是世界上最具丰富的细节。	not_entailment
细节是世界上最丰富的细节。	这个细节是我见过最丰富的细节。	entailment
这个内饰是我见过的最漂亮的内饰。	这个内饰是世界上最漂亮的内饰。	not_entailment
这个内饰是世界上最漂亮的内饰。	这个内饰是我见过的最漂亮的内饰。	entailment
这个想法是我见过的最简单的一个想法。	这个想法是世界上最简单的想法。	not_entailment
这个想法是世界上最简单的想法。	这个想法是我见过的最简单的想法。	entailment
这句话的意思是：这一点是我见过的最模糊不清的一点。	这句话的意思是：这一点是世界上最模糊的一点。	not_entailment
这一点是世界上最模糊的一点。	这句话的意思是：这一点是我见过的最模糊不清的一点。	entailment
其余的（部分）是我见过的最原始的（部分）。	其余的就是世界上最原始的休息。	not_entailment
其余的就是世界上最原始的休息。	其余的（部分）是我见过的最原始的部分。	entailment
这艘船是我所见过的最安全的船。	这艘船是世界上最安全的船。	not_entailment
这艘船是世界上最安全的船。	这艘船是我见过的最安全的船。	entailment
这是我见过的最贵的价格。	这是世界上最昂贵的价格。	not_entailment
这是世界上最昂贵的价格。	这个价格是我见过的最贵的价格。	entailment
这套床上用品是我见过的最热的床上用品。	这套床上用品是世界上最热门的床上用品。	not_entailment
这款寝具是世界上最热的寝具。	这套床上用品是我见过的最热的床上用品。	entailment
这个发现者是我见过的最可能的发现者。	这个寻找者是世界上最可能的找到者。	not_entailment
这个发现者是世界上最可能的发现者。	这个发现者是我见过的最有可能的发现者。	entailment
以下是我见过的最为确定的跟随者。	以下是世界上最确定的跟随者。	not_entailment
以下是世界上最确定的跟随者。	以下是我见过的最为确定的跟随者。	entailment
这个实验是我见过的最有趣的实验。	这个实验是世界上最有趣的实验。	not_entailment
这个实验是世界上最有趣的实验。	这个实验是我见过的最有趣的实验。	entailment
这个天花板是我见过的最低的天花板。	这个天花板是世界上海拔最低的天花板。	not_entailment
这个天花板是世界最低的天花板。	这个天花板是我见过的最低的天花板。	entailment
这句话的意思是：这一点是我见过最清楚的一点。	这句话的意思是：这一点是世界上最清楚的点。	not_entailment
这句话的意思是：这一点是世界上最清楚的点。	这句话的意思是：这一点是我见过最清楚的一点。	entailment
这个男孩是我见过的最沉默寡言的男孩。	这个男孩是世界上最沉默的男孩。	not_entailment
这个男孩是世界上最沉默的男孩。	这个男孩是我见过的最沉默寡言的男孩。	entailment
这是我见过的最湿润的河流。	这条河是世界上最湿润的河流。	not_entailment
这条河是世界上最湿润的河流。	这条河是我见过的最湿润的河流。	entailment
这是我见过最热的蒸汽。	这是世界上最热的蒸汽。	not_entailment
这是世界上最热的蒸汽。	这是我见过的最热的蒸汽。	entailment
这款字体是我见过的最小的字体。	这款字体是世界上最小的字体。	not_entailment
这款字体是世界上最小的字体。	这个字体是我见过的最小的字体。	entailment
这个浓度是我见过的最正常的浓度。	这个浓度是世界上最正常的浓度。	not_entailment
这个浓度是世界上最正常的浓度。	这个浓度是我见过的最正常的浓度。	entailment
这是我见过最疯狂的能量。	“这种能量是世界上最疯狂的能量。”	not_entailment
