premise	hypothesis	label
溪流比岩石更平滑。	溪流很平静。	not_entailment
溪流比岩石更平滑。	这块石头不光滑。	entailment
这面墙比那幅画还要干燥。	墙是干燥的。	not_entailment
这面墙比那幅画更干燥。	这幅画还没干。	entailment
偷窥者比表演者更加沉默。	偷窥者沉默不语。	not_entailment
偷窥者比行动者更加沉默。	这个演员并非沉默不语。	entailment
白色比邪恶更纯洁。	白色代表纯洁。	not_entailment
白色比邪恶更纯洁。	恶并非纯粹。	entailment
屋顶比安装得更整齐。	屋顶很整洁。	not_entailment
屋顶比安装得更整齐。	这个搭配不太合适。	entailment
这个谜题比战斗更不可能解决。	这个谜题是不可能完成的。	not_entailment
这个谜题比战斗更不可能解决。	战斗并非不可能。	entailment
空气比网格更平滑。	空气很平稳。	not_entailment
空气比网格更平滑。	网格不平滑。	entailment
历史比白昼更为清晰。	历史很清晰。	not_entailment
历史比白昼还要清楚。	天色不明朗。	entailment
这个选择比过程更加不可能。	这个选择是不可能的。	not_entailment
这个选择比过程更不可能。	这个过程并非不可能。	entailment
地球比起源更加纯净。	地球是纯洁的。	not_entailment
地球比原始状态更为纯净。	源头并不纯粹。	entailment
这个陶器比那个系统更完整。	陶器完成了。	not_entailment
这个陶器比那个系统更完整。	该系统不完整。	entailment
心脏比组合更健康。	心脏很健康。	not_entailment
心脏比组合更加健康。	这种组合不健康。	entailment
回报比创造更确定。	回报是确定无疑的。	not_entailment
回报比创造更确定。	制作尚未确定。	entailment
标题比条带更有创意。	该报头是原创的。	not_entailment
标题比条带更具创意。	这句话不是原创的。	entailment
这个城市比那群人更整洁。	这座城市很整洁。	not_entailment
这个城市比那群人更整洁。	这个团队不太整齐。	entailment
马比这个区域更安全。	这匹马很安全。	not_entailment
马比这个区域更安全。	这个区域不安全。	entailment
飞行员比航母安全。	飞行员安全。	not_entailment
飞行员比航母更安全。	载体不安全。	entailment
水晶比声音更纯净。	这块水晶是纯净的。	not_entailment
这块水晶比声音更纯净。	声音不纯。	entailment
喉咙比海湾还干。	喉咙干燥。	not_entailment
喉咙比海湾还要干燥。	海湾没有干涸。	entailment
地球比酒店干净。	地球很干净。	not_entailment
地球比酒店干净。	这家酒店不干净。	entailment
收音机比低音部分更安静。	无线电静默。	not_entailment
收音机比低音部分更安静。	低音并不沉默。	entailment
方向比针更直。	方向是直的。	not_entailment
方向比针更直。	针不是直的。	entailment
这条管道比搜索更完整。	管道已经完成。	not_entailment
