premise	hypothesis	label
术语表是现代的。	术语表相对较新。	entailment
术语表相对较新。	术语表是现代的。	not_entailment
数量不确定。	数量相对不确定。	entailment
数量相对不确定。	数量不确定。	not_entailment
这套公寓很小。	这套公寓相对较小。	entailment
这套公寓相对较小。	这套公寓很小。	not_entailment
地板很冷。	地板相对比较冷。	entailment
地板相对较冷。	地板很冷。	not_entailment
芦苇很脆弱。	芦苇相对较弱。	entailment
芦苇相对较弱。	芦苇柔弱。	not_entailment
成本是不确定的。	成本相对不确定。	entailment
成本相对不确定。	成本不确定。	not_entailment
这个规模很大。	这个规模相对较大。	entailment
规模相对来说较大。	这个规模很大。	not_entailment
这款酒口感顺滑。	这款酒相对比较顺滑。	entailment
这款酒相对比较顺滑。	这款酒口感顺滑。	not_entailment
这只熊很胖。	熊相对比较胖。	entailment
这只熊相对比较胖。	这只熊很胖。	not_entailment
这座桥很宽。	这座桥相对宽阔。	entailment
这座桥相对宽阔。	这座桥很宽。	not_entailment
芦苇很窄。	芦苇相对较窄。	entailment
芦苇相对较窄。	芦苇很窄。	not_entailment
这个排列很奇怪。	这个排列比较奇特。	entailment
这个排列比较奇特。	这个排列很奇怪。	not_entailment
这个词是不可能的。	这个词相对不可能。	entailment
这个词相对不可能。	这个词是不可能的。	not_entailment
这个女儿很健康。	这个女儿相对健康。	entailment
这个女儿相对健康。	女儿很健康。	not_entailment
光线很柔和。	光线相对柔和。	entailment
光线相对柔和。	光线很柔和。	not_entailment
现实是残酷的。	现实相对残酷。	entailment
现实相对残酷。	现实是残酷的。	not_entailment
血液是纯净的。	血液相对纯净。	entailment
血液相对纯净。	血液是纯净的。	not_entailment
这座建筑很古老。	这座建筑相对比较老旧。	entailment
这座建筑相对比较老旧。	这座建筑很古老。	not_entailment
这个色情作品很好。	这部Hentai相对不错。	entailment
这部 hentai 还不错。	这个 hentai 很棒。	not_entailment
利率很低。	这个比率相对较低。	entailment
这个比率相对较低。	利率很低。	not_entailment
天空很脏。	天空相对比较脏。	entailment
天空相对比较脏。	天空很脏。	not_entailment
电路短路了。	这个电路相对比较短。	entailment
这个电路相对比较短。	电路短路了。	not_entailment
这座教堂很小。	这座教堂相对较小。	entailment
这座教堂相对较小。	这座教堂很小。	not_entailment
这座建筑很合适。	这座建筑相对较为合适。	entailment
这座建筑相对较为合适。	这座建筑很合适。	not_entailment
信号很弱。	信号相对较弱。	entailment
信号相对较弱。	信号很弱。	not_entailment
玻璃很脏。	玻璃相对来说比较脏。	entailment
玻璃相对比较脏。	玻璃很脏。	not_entailment
母亲病了。	母亲病得相当严重。	entailment
母亲病得相当严重。	母亲病了。	not_entailment
椅子很高。	椅子相对较高。	entailment
这把椅子相对较高。	椅子很高。	not_entailment
