premise	hypothesis	label
这个市场很有吸引力。	市场是无穷无尽的	not_entailment
市场是无止境的	这个市场很有吸引力。	not_entailment
主人很生气。	主人正在沸腾	not_entailment
主人正在沸腾	主人很生气。	not_entailment
铁匠很热。	铁匠很着迷	not_entailment
铁匠着迷。	铁匠很热。	not_entailment
这个混合效果糟透了。	这个组合充满活力	not_entailment
这个组合充满活力	这个混合效果糟透了。	not_entailment
这个奖品很有价值。	这个奖没希望了	not_entailment
这个奖没希望了	这个奖品很有价值。	not_entailment
医生感到失望。	这个医生疯了。	not_entailment
医生疯了。	医生感到失望。	not_entailment
这个主体很悲伤。	主体很愤怒	not_entailment
主体很愤怒	主体很悲伤。	not_entailment
地面很脏。	地面在愤怒	not_entailment
大地在震怒	地面很脏。	not_entailment
天气很糟糕。	天气潮湿	not_entailment
天气潮湿	天气很糟糕。	not_entailment
路易斯是正向的。	刘易斯非常活泼	not_entailment
刘易斯很有活力	路易斯是正向的。	not_entailment
汤很烫。	这汤很奇怪	not_entailment
这汤很奇怪	汤很烫。	not_entailment
这个理论很有趣。	该理论很无力	not_entailment
该理论很无力	这个理论很有趣。	not_entailment
铁匠是必需的。	铁匠很可怕	not_entailment
这个铁匠很可怕	铁匠是必不可少的。	not_entailment
海洋是危险的。	海洋一尘不染	not_entailment
海洋清澈无暇	海洋是危险的。	not_entailment
蓝牙很好。	蓝牙很快	not_entailment
蓝牙连接很快	蓝牙很好。	not_entailment
公众有能力。	公众是完美的。	not_entailment
公众是完美的。	公众是有能力的。	not_entailment
参考文献很重要。	参考文献部分很紧急。	not_entailment
参考书目匮乏	参考文献很重要。	not_entailment
这个女孩很有吸引力。	这个女孩肤色较深。	not_entailment
这个女孩肤色较深。	这个女孩很有吸引力。	not_entailment
这首歌的说唱部分很暴力。	这个说唱很怪异	not_entailment
这个说唱很奇特	这首说唱歌曲含有暴力元素。	not_entailment
这场游猎太疯狂了。	这场游猎令人着迷。	not_entailment
野生动物园非常吸引人	这个野生动物园太疯狂了。	not_entailment
这味道令人不悦。	味道已耗尽	not_entailment
滋味已尽	这味道令人不悦。	not_entailment
洞见很有价值。	洞见是私人的	not_entailment
洞察力是私人的	洞见很有价值。	not_entailment
这个梦很吓人。	梦想令人着迷	not_entailment
梦想是迷人的	这个梦很吓人。	not_entailment
时机不对。	这个时机令人惊讶	not_entailment
这个时机令人惊叹。	时机不对。	not_entailment
真相是可怕的。	真相是熟练的	not_entailment
真相是技术精湛的	真相是可怕的。	not_entailment
这个概念很巧妙。	这个概念很糟糕	not_entailment
这个概念很糟糕	这个创意很巧妙。	not_entailment
树林生长迅速。	树林很茂盛。	not_entailment
情况很疯狂。	情况非常棘手	not_entailment
情况很紧张	情况很疯狂。	not_entailment
岸边是湿的。	岸边十分凄凉	not_entailment
岸边十分凄凉	岸边是湿润的。	not_entailment
这种组合并不常见。	这个组合很糟糕	not_entailment
这个组合很糟糕	这种组合并不常见。	not_entailment
这个铁匠是有能力的。	铁匠绝望了	not_entailment
铁匠绝望了	这个铁匠是有能力的。	not_entailment
对话令人不悦。	这段对话无比珍贵	not_entailment
这段对话无比珍贵	对话令人不愉快。	not_entailment
泥土是湿的。	黏土是明智的	not_entailment
泥土是明智的	泥土是湿的。	not_entailment
这种材料很有价值。	这个材料很可爱	not_entailment
这种材料很可爱	这种材料很有价值。	not_entailment
这个男孩很聪明。	这个男孩令人讨厌	not_entailment
这个男孩令人讨厌	这个男孩很聪明。	not_entailment
经理很开心。	这位经理很稀有	not_entailment
这位经理很罕见	经理很开心。	not_entailment
果酱很美味。	果酱很聪明	not_entailment
果酱很聪明	果酱很好吃。	not_entailment
夜晚很安静。	夜晚充满欢乐	not_entailment
夜晚充满欢乐	夜晚很安静。	not_entailment
这个地区很吸引人。	这片区域价值连城	not_entailment
这片区域是无价的。	这个地区很吸引人。	not_entailment
这音乐很美。	这首音乐很奇特	not_entailment
这音乐很奇特	这音乐很好听。	not_entailment
油很热。	这油毫不费力	not_entailment
这款油使用起来毫不费力。	油很热。	not_entailment
房间很脏。	房间内洋溢着欢乐的气息	not_entailment
房间内洋溢着欢乐的气息	房间很脏。	not_entailment
这部电影很暴力。	这部电影很奇怪	not_entailment
这部电影很奇怪	这部电影很暴力。	not_entailment
希望渺茫。	希望丰富无比	not_entailment
希望是丰富的	希望渺茫。	not_entailment
世界很可怕。	世界正在被浸湿	not_entailment
世界正在沉浸其中	世界很可怕。	not_entailment
主是智慧的。	这位老爷很少见	not_entailment
这位大人很稀有	主是明智的。	not_entailment
设计很有吸引力。	设计很精湛	not_entailment
设计很巧妙	设计很吸引人。	not_entailment
处理速度很快。	处理很贫乏	not_entailment
处理过程很贫乏	处理速度很快。	not_entailment
世界是丑陋的。	世界是有技能的	not_entailment
世界是充满技能的。	世界是丑陋的。	not_entailment
这个解释很简单。	这个解释很单薄	not_entailment
这个解释很单薄	这个解释很简单。	not_entailment
树林生机勃勃。	这片树林很罕见。	not_entailment
这片树林很稀有	树林生机勃勃。	not_entailment
电流为正。	水流正好	not_entailment
水流很完美	电流为正。	not_entailment
强尼很危险。	约翰尼很高兴	not_entailment
这个孩子很高兴	强尼很危险。	not_entailment
这音乐很有味道。	这音乐令人绝望	not_entailment
这音乐令人绝望	这音乐很有味道。	not_entailment
豪华版很好。	豪华版很讨厌	not_entailment
豪华版令人讨厌	豪华版很好。	not_entailment
这个差异令人讨厌。	差异令人痴迷	not_entailment
差别令人痴迷	这个差异令人讨厌。	not_entailment
这对夫妇很开心。	这对夫妇欣喜若狂	not_entailment
这对夫妇欣喜若狂	这对夫妇很开心。	not_entailment
地球是湿润的。	地球欣喜若狂	not_entailment
地球欣喜若狂	地球是湿润的。	not_entailment
这个词是“大量”。	这个词是美味的。	not_entailment
这个词是美味的	这个词是“充足”。	not_entailment
陶工很担心。	陶工是湿的	not_entailment
陶工是湿的	陶工很担心。	not_entailment
海洋很脏。	大海是古老的	not_entailment
大海是古老的	大海很脏。	not_entailment
沙漠是干燥的。	沙漠充满生机	not_entailment
沙漠充满生机	沙漠很干燥。	not_entailment
天花板很薄。	天花板很明智	not_entailment
天花板很明智	天花板很薄。	not_entailment
这个故事很恐怖。	这个故事毫无希望	not_entailment
这个故事毫无希望	这个故事很吓人。	not_entailment
 gnome是睿智的。	地精非常出色	not_entailment
侏儒非常棒	侏儒很聪明。	not_entailment
化学反应令人惊讶。	化学反应无穷无尽	not_entailment
化学反应无穷无尽	化学反应令人惊讶。	not_entailment
国王累了。	国王很悲惨	not_entailment
国王很悲惨	国王累了。	not_entailment
女王很开心。	女王充满活力	not_entailment
女王充满活力	女王很开心。	not_entailment
消费者很高兴。	消费者是无价的	not_entailment
消费者是无价的	消费者很开心。	not_entailment
这首歌很合适。	这首歌很糟糕	not_entailment
这首歌很糟糕	这首歌很合适。	not_entailment
法律是丑陋的。	法律软弱无力	not_entailment
法律软弱无力	法律是丑陋的。	not_entailment
这个男人很胖。	这个男人很残暴	not_entailment
这个男人很残暴	这个男人很胖。	not_entailment
市长很担心。	市长非常愤怒	not_entailment
市长非常愤怒	市长很担心。	not_entailment
收音机很安静。	收音机正在发出狂怒的声音	not_entailment
收音机正在大声播放	收音机很安静。	not_entailment
问题很多。	问题层出不穷	not_entailment
问题无穷无尽	问题很多。	not_entailment
结局很有趣。	结局很惨烈	not_entailment
结局很残忍	结局很有趣。	not_entailment
这个孩子很有趣。	这个孩子沉默不语。	not_entailment
这个孩子沉默不语。	这个小孩很有趣。	not_entailment
